request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_148,8514.79,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,"The ZAR 22,242.00 is best paid in 3 installments (2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56), each timed to when the balance can safely absorb the payment above ZAR 20,000.00."
request_149,28401.41,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-04,none,"The ZAR 36,652.00 is best paid in 3 installments (2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03), each timed to when the balance can safely absorb the payment above ZAR 42,100.00."
request_150,309.61,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-06,none,"The EUR 496.10 is best paid in 3 installments (2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98), each timed to when the balance can safely absorb the payment above EUR 700.00."
request_151,23767546.95,not_affordable,not_recommended,none,2024-09-03,none,"Do not make this payment by 2024-09-14. Only IDR 23,767,546.95 is safely available now; none of the available options keeps the IDR 31,633,600.00 minimum protected while covering the full IDR 26,999,000.00."
request_152,11070.88,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-05,none,"The ZAR 13,882.00 is best paid in 3 installments (2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43), each timed to when the balance can safely absorb the payment above ZAR 11,900.00."
request_153,121.03,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-24. Only USD 121.03 is safely available now; none of the available options keeps the USD 1,400.00 minimum protected while covering the full USD 2,830.80."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"The EUR 1,625.80 is best paid in 3 installments (2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61), each timed to when the balance can safely absorb the payment above EUR 1,300.00."
request_155,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-20. Only INR 0.00 is safely available now; none of the available options keeps the INR 56,300.00 minimum protected while covering the full INR 112,500.00."
request_156,7369.13,affordable_later,wait,2026-05-15:43076,2026-05-15,none,"Insufficient funds today; ZAR 7,369.13 is safely available now. Wait until 2026-05-15 when projected cash flow supports the full ZAR 43,076.00 above the ZAR 26,900.00 minimum balance."
request_157,5210113.93,affordable_later,wait,2024-03-15:23503000,2024-03-15,none,"Insufficient funds today; IDR 5,210,113.93 is safely available now. Wait until 2024-03-15 when projected cash flow supports the full IDR 23,503,000.00 above the IDR 15,714,100.00 minimum balance."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"The INR 242,600.00 is best paid in 3 installments (2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33), each timed to when the balance can safely absorb the payment above INR 131,400.00."
request_159,3958.29,affordable_with_plan,partial_payment,2026-01-04:3958.29|2026-01-04:9439.71,2026-01-04,none,"Pay ZAR 3,958.29 immediately and the remainder by 2026-01-04, keeping the ZAR 8,700.00 minimum protected at every step."
request_160,472.19,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"The EUR 1,246.30 is best paid in 3 installments (2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05), each timed to when the balance can safely absorb the payment above EUR 1,200.00."
request_161,6904728.69,affordable_later,wait,2025-11-15:21204000,2025-11-15,none,"Insufficient funds today; IDR 6,904,728.69 is safely available now. Wait until 2025-11-15 when projected cash flow supports the full IDR 21,204,000.00 above the IDR 23,010,400.00 minimum balance."
request_162,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-26. Only IDR 0.00 is safely available now; none of the available options keeps the IDR 24,161,100.00 minimum protected while covering the full IDR 83,923,000.00."
request_163,9397592.76,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-07,none,"The IDR 19,304,000.00 is best paid in 3 installments (2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33), each timed to when the balance can safely absorb the payment above IDR 26,728,700.00."
request_164,24965537.82,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"The IDR 27,018,000.00 is best paid in 3 installments (2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240), each timed to when the balance can safely absorb the payment above IDR 29,550,500.00."
request_165,21582.09,not_affordable,not_recommended,none,2026-04-06,none,"Do not make this payment by 2026-04-21. Only INR 21,582.09 is safely available now; none of the available options keeps the INR 95,000.00 minimum protected while covering the full INR 80,600.00."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"The USD 2,907.60 is best paid in 3 installments (2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97), each timed to when the balance can safely absorb the payment above USD 1,700.00."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"The full amount of ZAR 43,802.00 can be paid on 2025-05-05 while keeping the ZAR 31,200.00 minimum balance protected."
request_168,46423.92,affordable_with_plan,partial_payment,2026-01-07:46423.92|2026-01-07:2956.08,2026-01-07,none,"Pay INR 46,423.92 immediately and the remainder by 2026-01-07, keeping the INR 114,400.00 minimum protected at every step."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"The full amount of ZAR 41,976.00 can be paid on 2024-03-04 while keeping the ZAR 18,700.00 minimum balance protected."
request_170,29803520.6,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-06,none,"The IDR 36,936,000.00 is best paid in 3 installments (2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480), each timed to when the balance can safely absorb the payment above IDR 24,715,800.00."
request_171,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-10. Only EUR 0.00 is safely available now; none of the available options keeps the EUR 500.00 minimum protected while covering the full EUR 1,878.80."
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"The ZAR 10,200.00 is best paid in 2 installments (2024-06-05:5304|2024-07-03:5304), each timed to when the balance can safely absorb the payment above ZAR 27,200.00."
request_173,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-17. Only INR 0.00 is safely available now; none of the available options keeps the INR 79,100.00 minimum protected while covering the full INR 113,000.00."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"The EUR 1,146.20 is best paid in 3 installments (2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35), each timed to when the balance can safely absorb the payment above EUR 700.00."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"The full amount of EUR 2,346.30 can be paid on 2024-09-06 while keeping the EUR 1,700.00 minimum balance protected."
request_176,365.3,affordable_later,wait,2025-03-24:1239.7,2025-03-24,none,"Insufficient funds today; EUR 365.30 is safely available now. Wait until 2025-03-24 when projected cash flow supports the full EUR 1,239.70 above the EUR 600.00 minimum balance."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"The full amount of USD 1,017.60 can be paid on 2026-01-05 while keeping the USD 1,300.00 minimum balance protected."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"The EUR 2,938.10 is best paid in 3 installments (2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54), each timed to when the balance can safely absorb the payment above EUR 1,400.00."
request_179,6520504.22,affordable_later,wait,2025-05-15:41648000,2025-05-15,none,"Insufficient funds today; IDR 6,520,504.22 is safely available now. Wait until 2025-05-15 when projected cash flow supports the full IDR 41,648,000.00 above the IDR 41,430,800.00 minimum balance."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"The full amount of INR 66,500.00 can be paid on 2026-07-06 while keeping the INR 37,300.00 minimum balance protected."
request_181,442.22,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-07. Only USD 442.22 is safely available now; none of the available options keeps the USD 2,000.00 minimum protected while covering the full USD 5,059.20."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"The full amount of ZAR 65,714.00 can be paid on 2025-08-05 while keeping the ZAR 31,100.00 minimum balance protected."
request_183,25018943.78,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-07,none,"The IDR 26,866,000.00 is best paid in 3 installments (2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67), each timed to when the balance can safely absorb the payment above IDR 11,878,300.00."
request_184,22029.35,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. Only INR 22,029.35 is safely available now; none of the available options keeps the INR 110,800.00 minimum protected while covering the full INR 251,900.00."
request_185,379.39,affordable_later,wait,2025-11-15:1257.3,2025-11-15,none,"Insufficient funds today; EUR 379.39 is safely available now. Wait until 2025-11-15 when projected cash flow supports the full EUR 1,257.30 above the EUR 1,300.00 minimum balance."
request_186,6461.29,affordable_later,wait,2026-01-15:26554,2026-01-15,none,"Insufficient funds today; ZAR 6,461.29 is safely available now. Wait until 2026-01-15 when projected cash flow supports the full ZAR 26,554.00 above the ZAR 22,000.00 minimum balance."
request_187,17149.89,affordable_later,wait,2024-10-15:187500,2024-10-15,none,"Insufficient funds today; INR 17,149.89 is safely available now. Wait until 2024-10-15 when projected cash flow supports the full INR 187,500.00 above the INR 128,300.00 minimum balance."
request_188,67.1,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-03-04. Only EUR 67.10 is safely available now; none of the available options keeps the EUR 900.00 minimum protected while covering the full EUR 2,464.00."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,The full amount of EUR 488.40 can be paid on 2026-07-04 while keeping the EUR 400.00 minimum balance protected.
request_190,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. Only EUR 0.00 is safely available now; none of the available options keeps the EUR 1,600.00 minimum protected while covering the full EUR 2,557.50."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,The full amount of EUR 664.40 can be paid on 2025-05-03 while keeping the EUR 500.00 minimum balance protected.
request_192,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-05-11. Only USD 0.00 is safely available now; none of the available options keeps the USD 1,000.00 minimum protected while covering the full USD 2,046.00."
request_193,69.95,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,"The EUR 1,212.20 is best paid in 3 installments (2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23), each timed to when the balance can safely absorb the payment above EUR 1,000.00."
request_194,42042.66,affordable_later,wait,2025-08-23:132800,2025-08-23,none,"Insufficient funds today; INR 42,042.66 is safely available now. Wait until 2025-08-23 when projected cash flow supports the full INR 132,800.00 above the INR 113,600.00 minimum balance."
request_195,1099.3,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-06,none,"The EUR 1,170.40 is best paid in 3 installments (2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74), each timed to when the balance can safely absorb the payment above EUR 700.00."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,The full amount of EUR 762.30 can be paid on 2024-06-03 while keeping the EUR 500.00 minimum balance protected.
request_197,50939000.0,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"The IDR 50,939,000.00 is best paid in 3 installments (2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33), each timed to when the balance can safely absorb the payment above IDR 26,245,900.00."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"The full amount of INR 185,800.00 can be paid on 2026-07-07 while keeping the INR 124,300.00 minimum balance protected."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"The IDR 23,674,000.00 is best paid in 3 installments (2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67), each timed to when the balance can safely absorb the payment above IDR 25,359,500.00."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"The full amount of IDR 21,717,000.00 can be paid on 2025-02-06 while keeping the IDR 20,114,600.00 minimum balance protected."
request_201,16669638.25,affordable_with_plan,partial_payment,2026-04-03:16669638.25|2026-04-03:7327361.75,2026-04-03,none,"Pay IDR 16,669,638.25 immediately and the remainder by 2026-04-03, keeping the IDR 17,304,500.00 minimum protected at every step."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"The full amount of INR 123,900.00 can be paid on 2024-12-05 while keeping the INR 147,800.00 minimum balance protected."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"The EUR 1,442.10 is best paid in 3 installments (2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93), each timed to when the balance can safely absorb the payment above EUR 1,400.00."
request_204,578.44,affordable_with_plan,full_payment,2026-01-04:588.74,2026-01-04,stop:event_18761,"The full EUR 588.74 is payable on 2026-01-04 after applying spending adjustments (stop:event_18761), which free up sufficient cash while protecting the EUR 1,300.00 minimum."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"The full amount of IDR 10,621,000.00 can be paid on 2024-03-06 while keeping the IDR 13,994,300.00 minimum balance protected."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"The EUR 1,404.70 is best paid in 3 installments (2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96), each timed to when the balance can safely absorb the payment above EUR 900.00."
request_207,3091.71,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Insufficient funds today; ZAR 3,091.71 is safely available now. Wait until 2026-07-15 when projected cash flow supports the full ZAR 11,830.00 above the ZAR 13,600.00 minimum balance."
request_208,3722208.15,not_affordable,not_recommended,none,2024-06-07,none,"Do not make this payment by 2024-07-13. Only IDR 3,722,208.15 is safely available now; none of the available options keeps the IDR 10,470,700.00 minimum protected while covering the full IDR 4,413,000.00."
request_209,644.77,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-25. Only ZAR 644.77 is safely available now; none of the available options keeps the ZAR 18,400.00 minimum protected while covering the full ZAR 56,914.00."
request_210,603.16,affordable_with_plan,partial_payment,2026-04-06:603.16|2026-04-06:756.86,2026-04-06,none,"Pay USD 603.16 immediately and the remainder by 2026-04-06, keeping the USD 2,000.00 minimum protected at every step."
request_211,277.48,affordable_later,wait,2024-09-15:1788.6,2024-09-15,none,"Insufficient funds today; EUR 277.48 is safely available now. Wait until 2024-09-15 when projected cash flow supports the full EUR 1,788.60 above the EUR 1,500.00 minimum balance."
request_212,10320175.3,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-28. Only IDR 10,320,175.30 is safely available now; none of the available options keeps the IDR 29,579,800.00 minimum protected while covering the full IDR 71,934,000.00."
request_213,3164.04,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"The USD 3,362.40 is best paid in 3 installments (2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63), each timed to when the balance can safely absorb the payment above USD 2,100.00."
request_214,56151.96,affordable_with_plan,partial_payment,2024-12-04:56151.96|2024-12-04:13598.04,2024-12-04,none,"Pay INR 56,151.96 immediately and the remainder by 2024-12-04, keeping the INR 174,900.00 minimum protected at every step."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"The ZAR 29,986.00 is best paid in 3 installments (2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15), each timed to when the balance can safely absorb the payment above ZAR 15,700.00."
request_216,489.84,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-15. Only USD 489.84 is safely available now; none of the available options keeps the USD 1,800.00 minimum protected while covering the full USD 3,332.40."
request_217,7870.93,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,"The ZAR 37,180.00 is best paid in 3 installments (2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07), each timed to when the balance can safely absorb the payment above ZAR 26,800.00."
request_218,23385673.9,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,"The IDR 61,142,000.00 is best paid in 3 installments (2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33), each timed to when the balance can safely absorb the payment above IDR 34,477,200.00."
request_219,556.68,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"The EUR 1,673.10 is best paid in 3 installments (2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01), each timed to when the balance can safely absorb the payment above EUR 1,100.00."
request_220,94.97,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-03. Only EUR 94.97 is safely available now; none of the available options keeps the EUR 1,100.00 minimum protected while covering the full EUR 3,118.50."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"The full amount of INR 109,800.00 can be paid on 2025-11-03 while keeping the INR 81,500.00 minimum balance protected."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"The full amount of ZAR 34,078.00 can be paid on 2026-01-05 while keeping the ZAR 27,300.00 minimum balance protected."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,The full amount of EUR 898.70 can be paid on 2024-09-07 while keeping the EUR 800.00 minimum balance protected.
request_224,9899209.97,affordable_with_plan,partial_payment,2025-02-04:9899209.97|2025-02-04:427790.03,2025-02-04,none,"Pay IDR 9,899,209.97 immediately and the remainder by 2025-02-04, keeping the IDR 22,187,600.00 minimum protected at every step."
request_225,10915319.32,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-07-15,none,"The IDR 22,059,000.00 is best paid in 3 installments (2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120), each timed to when the balance can safely absorb the payment above IDR 17,670,700.00."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"The full amount of INR 157,000.00 can be paid on 2024-12-03 while keeping the INR 209,400.00 minimum balance protected."
request_227,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-20. Only INR 0.00 is safely available now; none of the available options keeps the INR 62,900.00 minimum protected while covering the full INR 259,700.00."
request_228,1448291.88,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-04-30. Only IDR 1,448,291.88 is safely available now; none of the available options keeps the IDR 26,191,200.00 minimum protected while covering the full IDR 63,327,000.00."
request_229,477.03,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-03-15,none,"The EUR 1,526.80 is best paid in 3 installments (2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29), each timed to when the balance can safely absorb the payment above EUR 1,000.00."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"The full amount of EUR 3,537.60 can be paid on 2025-08-06 while keeping the EUR 2,000.00 minimum balance protected."
request_231,32742.54,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,"The ZAR 35,706.00 is best paid in 3 installments (2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08), each timed to when the balance can safely absorb the payment above ZAR 24,300.00."
request_232,525.14,affordable_later,wait,2024-06-15:1970.1,2024-06-15,none,"Insufficient funds today; EUR 525.14 is safely available now. Wait until 2024-06-15 when projected cash flow supports the full EUR 1,970.10 above the EUR 2,400.00 minimum balance."
request_233,3785219.97,affordable_with_plan,partial_payment,2025-11-07:3785219.97|2025-11-07:2455780.03,2025-11-07,none,"Pay IDR 3,785,219.97 immediately and the remainder by 2025-11-07, keeping the IDR 10,365,700.00 minimum protected at every step."
request_234,127.12,affordable_later,wait,2026-08-15:1213.3,2026-08-15,none,"Insufficient funds today; EUR 127.12 is safely available now. Wait until 2026-08-15 when projected cash flow supports the full EUR 1,213.30 above the EUR 700.00 minimum balance."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,The full amount of USD 967.20 can be paid on 2024-09-06 while keeping the USD 700.00 minimum balance protected.
request_236,5545912.32,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-23. Only IDR 5,545,912.32 is safely available now; none of the available options keeps the IDR 16,768,600.00 minimum protected while covering the full IDR 52,383,000.00."
request_237,11655464.84,not_affordable,not_recommended,none,2026-04-05,none,"Do not make this payment by 2026-05-20. Only IDR 11,655,464.84 is safely available now; none of the available options keeps the IDR 22,431,500.00 minimum protected while covering the full IDR 23,826,000.00."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"The USD 663.60 is best paid in 3 installments (2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05), each timed to when the balance can safely absorb the payment above USD 700.00."
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,The full amount of USD 642.00 can be paid on 2025-05-04 while keeping the USD 600.00 minimum balance protected.
request_240,13823.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-20. Only INR 13,823.81 is safely available now; none of the available options keeps the INR 52,800.00 minimum protected while covering the full INR 101,200.00."
request_241,9244018.63,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"The IDR 21,052,000.00 is best paid in 3 installments (2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67), each timed to when the balance can safely absorb the payment above IDR 19,252,000.00."
request_242,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-08-25. Only EUR 0.00 is safely available now; none of the available options keeps the EUR 600.00 minimum protected while covering the full EUR 1,966.80."
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"The full amount of ZAR 17,468.00 can be paid on 2026-07-07 while keeping the ZAR 19,900.00 minimum balance protected."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"The full amount of ZAR 49,918.00 can be paid on 2024-06-04 while keeping the ZAR 45,900.00 minimum balance protected."
request_245,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. Only INR 0.00 is safely available now; none of the available options keeps the INR 94,600.00 minimum protected while covering the full INR 128,500.00."
request_246,57056.56,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"The ZAR 64,086.00 is best paid in 3 installments (2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48), each timed to when the balance can safely absorb the payment above ZAR 39,300.00."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"The full amount of EUR 1,059.30 can be paid on 2024-09-05 while keeping the EUR 1,300.00 minimum balance protected."
request_248,990.66,affordable_with_plan,partial_payment,2025-02-07:990.66|2025-02-24:974.94,2025-02-24,none,"Pay USD 990.66 immediately and the remainder by 2025-02-24, keeping the USD 1,300.00 minimum protected at every step."
request_249,178.94,affordable_later,wait,2026-01-15:643.2,2026-01-15,none,Insufficient funds today; USD 178.94 is safely available now. Wait until 2026-01-15 when projected cash flow supports the full USD 643.20 above the USD 600.00 minimum balance.
request_250,10749.13,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-18. Only ZAR 10,749.13 is safely available now; none of the available options keeps the ZAR 35,300.00 minimum protected while covering the full ZAR 124,278.00."
request_251,790.76,not_affordable,not_recommended,none,2025-05-03,none,"Do not make this payment by 2025-06-06. Only EUR 790.76 is safely available now; none of the available options keeps the EUR 1,300.00 minimum protected while covering the full EUR 1,513.60."
request_252,3805334.76,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,"Insufficient funds today; IDR 3,805,334.76 is safely available now. Wait until 2026-08-15 when projected cash flow supports the full IDR 28,082,000.00 above the IDR 15,152,200.00 minimum balance."
request_253,1446.16,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-03-15,none,"The EUR 2,840.20 is best paid in 3 installments (2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6), each timed to when the balance can safely absorb the payment above EUR 2,300.00."
request_254,351.34,affordable_later,wait,2025-09-15:3535.2,2025-09-15,none,"Insufficient funds today; USD 351.34 is safely available now. Wait until 2025-09-15 when projected cash flow supports the full USD 3,535.20 above the USD 2,500.00 minimum balance."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"The full amount of IDR 3,345,000.00 can be paid on 2026-04-06 while keeping the IDR 9,813,900.00 minimum balance protected."
request_256,152186.23,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-03,none,"The INR 218,700.00 is best paid in 3 installments (2024-06-10:75816|2024-07-11:75816|2024-08-11:75816), each timed to when the balance can safely absorb the payment above INR 168,600.00."
request_257,552.72,affordable_later,wait,2025-11-15:1352.4,2025-11-15,none,"Insufficient funds today; USD 552.72 is safely available now. Wait until 2025-11-15 when projected cash flow supports the full USD 1,352.40 above the USD 1,600.00 minimum balance."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"The full amount of USD 1,113.60 can be paid on 2026-01-07 while keeping the USD 500.00 minimum balance protected."
request_259,93.54,affordable_later,wait,2024-10-15:935,2024-10-15,none,Insufficient funds today; EUR 93.54 is safely available now. Wait until 2024-10-15 when projected cash flow supports the full EUR 935.00 above the EUR 600.00 minimum balance.
request_260,10040765.81,affordable_with_plan,partial_payment,2025-02-06:10040765.81|2025-04-15:42038234.19,2025-04-15,none,"Pay IDR 10,040,765.81 immediately and the remainder by 2025-04-15, keeping the IDR 20,727,700.00 minimum protected at every step."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"The full amount of EUR 1,830.40 can be paid on 2026-07-03 while keeping the EUR 1,500.00 minimum balance protected."
request_262,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-01-24. Only IDR 0.00 is safely available now; none of the available options keeps the IDR 31,018,500.00 minimum protected while covering the full IDR 9,236,000.00."
request_263,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-15. Only ZAR 0.00 is safely available now; none of the available options keeps the ZAR 24,100.00 minimum protected while covering the full ZAR 51,546.00."
request_264,20601.23,affordable_later,wait,2026-05-15:111300,2026-05-15,none,"Insufficient funds today; INR 20,601.23 is safely available now. Wait until 2026-05-15 when projected cash flow supports the full INR 111,300.00 above the INR 59,500.00 minimum balance."
request_265,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-03-21. Only INR 0.00 is safely available now; none of the available options keeps the INR 189,700.00 minimum protected while covering the full INR 45,970.00."
request_266,836.65,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,"The EUR 935.00 is best paid in 3 installments (2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13), each timed to when the balance can safely absorb the payment above EUR 900.00."
